asset_uid,asset_code,asset_name,asset_type,category,configuration_details,quantity,rate,warranty_end_date,warranty_end_year,purchase_date,po_invoice_bill_no,po_invoice_bill_path,tagname_hostname,serial_number,vendor_name,assigned_to,asset_location,status,remarks,source_sheet,source_row,duplicate_warning,live_sync_status,live_hostname,live_machine_id,live_last_seen
HW-BFC5A2CC88,,Teliphone,Teliphone,Teliphone,Teliphone,1,,,,,,,,NA,,Sagar,Network Room 1,Working,,Network Room,22,,not_checked,,,
HW-05437D03C0,,Router,Router,Router,Tp Link (Extra - 8 port),1,,,,,,,,NA,,Sagar,Network Room 1,Standby,,Network Room,23,,not_checked,,,
HW-B2155F99F3,,Fiber cable manager,Fiber cable manager,Fiber cable manager,Local,1,,,,,,,,NA,,Sagar,Network Room 1,Working,,Network Room,24,,not_checked,,,
HW-B2155F99F3,,Fiber cable manager,Fiber cable manager,Fiber cable manager,D - Link,1,,,,,,,,NA,,Sagar,Network Room 1,Working,,Network Room,25,,not_checked,,,
HW-0714C902B6,,Network Room 2,Network Room 2,Network Room 2,,1,,,,,,,,,,,Network Room,,,Network Room,30,,not_checked,,,
HW-A0D2D0E84B,,D-link Switch -48 port,D-link Switch -48 port,D-link Switch -48 port,D - Link Manageable,1,,,,,,,,NA,,Sagar,Network Room 2,Working,,Network Room,33,,not_checked,,,
HW-E65A3BA2D0,,PoE Switch 8 Port,PoE Switch 8 Port,PoE Switch 8 Port,D - Link,1,,,,,,,,NA,,Sagar,Network Room 2,Working,,Network Room,34,,not_checked,,,
HW-E65A3BA2D0,,PoE Switch 8 Port,PoE Switch 8 Port,PoE Switch 8 Port,D - Link,1,,,,,,,,NA,,Sagar,Network Room 2,Working,,Network Room,35,,not_checked,,,
HW-91AFC7FDA1,,Network Rack,Network Rack,Network Rack,6-U rack with 2 fan with oatch pannel,1,,,,,,,,NA,,Sagar,Network Room 2,Working,,Network Room,36,,not_checked,,,
HW-91AFC7FDA1,,Network Rack,Network Rack,Network Rack,2-U rack with 1 fan,1,,,,,,,,NA,,Sagar,Network Room 2,Working,,Network Room,37,,not_checked,,,
HW-C6F689B4EE,,1- Access point,1- Access point,1- Access point,TP Link wifi access point on Hall and conferens room,1,,,,,,,,NA,,Sagar,Network Room 2,Working,,Network Room,38,,not_checked,,,
HW-BFC5A2CC88,,Teliphone,Teliphone,Teliphone,Teliphone,1,,,,,,,,NA,,Sagar,Network Room 2,Working,,Network Room,39,,not_checked,,,
HW-B2155F99F3,,Fiber cable manager,Fiber cable manager,Fiber cable manager,Local,1,,,,,,,,NA,,Sagar,Network Room 2,Working,,Network Room,40,,not_checked,,,
HW-3EA6F0251F,,Network Material,Network Material,Network Material,,1,,,,,,,,,,,Network Room,,,Network Room,45,,not_checked,,,
HW-5443C5EB03,,Switch 2,Switch 2,Switch 2,D- link 16 port,1,,,,,,,,NA,,Sagar,Support 1 + old teacher room,Working,,Network Room,48,,not_checked,,,
HW-74B947C6A9,,Switch,Switch,Switch,D- link 8 port,1,,,,,,,,NA,,Sagar,Network Room,Working,,Network Room,49,,not_checked,,,
HW-7F5CD8E6AC,,Extender Switch + WiFi,Extender Switch + WiFi,Extender Switch + WiFi,D- link 4 port,1,,,,,,,,NA,,Sagar,Network Room,Working,,Network Room,50,,not_checked,,,
HW-74B947C6A9,,Switch,Switch,Switch,D- link 4 port,1,,,,,,,,NA,,Sagar,Network Room,Working,,Network Room,51,,not_checked,,,
HW-ABB766A447,,Switch 3,Switch 3,Switch 3,D- link 8 port,1,,,,,,,,NA,,Sagar,Hall,Working,,Network Room,52,,not_checked,,,
HW-74B947C6A9,,Switch,Switch,Switch,D- link 4 port,1,,,,,,,,NA,,Sagar,Network Room,Working,,Network Room,53,,not_checked,,,
HW-CECC7BE4CB,,4U- rack,4U- rack,4U- rack,D- link,1,,,,,,,,NA,,Sagar,Network Room,Working,,Network Room,54,,not_checked,,,
HW-94B680E836,,POe switch 2,POe switch 2,POe switch 2,D- link,1,,,,,,,,NA,,Sagar,Network Room,Working,,Network Room,55,,not_checked,,,
HW-4ADF80C8FE,,WiFi  Router,WiFi  Router,WiFi  Router,-,1,,,,,,,,NA,,Sagar,Director Room,Working,,Network Room,56,,not_checked,,,
HW-465337DC59,,"TV 21""","TV 21""","TV 21""",Samsung,1,,,,,,,,NA,,Sagar,Network Room,Working,,Network Room,57,,not_checked,,,
HW-CECC7BE4CB,,4U- rack,4U- rack,4U- rack,D- link,1,,,,,,,,NA,,Sagar,Support 2,Working,,Network Room,58,,not_checked,,,
HW-74B947C6A9,,Switch,Switch,Switch,D- link 48 port,1,,,,,,,,NA,,Sagar,Network Room,Working,,Network Room,59,,not_checked,,,
HW-B2155F99F3,,Fiber cable manager,Fiber cable manager,Fiber cable manager,D- link,1,,,,,,,,NA,,Sagar,Network Room,Working,,Network Room,60,,not_checked,,,
